Mean Entropy,Frame Type
0.0202701356694793,Switch
0.014261310321065705,Switch
0.019098760032521624,Switch
0.018812066506024086,Switch
0.031808740195435135,Switch
0.030937344754508767,Switch
0.01912907427854528,Switch
0.03246531912213793,Switch
0.029394535755846753,Switch
0.02963981946943258,Switch
0.018070152516061866,Switch
0.01533543619824931,Switch
0.014975027455197649,Switch
0.010403061433484904,Switch
0.016920448340091314,Switch
0.03402715699037078,Switch
0.012748816489833,Switch
0.032067566729326605,Switch
0.04734946280922648,Switch
0.04628035951426399,Switch
0.028027293233350077,Switch
0.03150946763894626,Switch
0.03006446032204519,Switch
0.032641617194392715,Switch
0.028179677143255383,Switch
0.034069033034543526,Switch
0.01391403621561487,Switch
0.021079284630029553,Switch
0.014190967449206005,Switch
0.028752317857670545,Switch
0.025837795676277604,Switch
0.027315616091336564,Switch
0.015185282090027206,Switch
0.033507583713204454,Switch
0.03845194596553019,Switch
0.02376225019927315,Switch
0.020520619796577516,Switch
0.026321439661363494,Switch
0.020224990478045407,Switch
0.028162290218560353,Switch
0.038500610926563185,Switch
0.03900694544728976,Switch
0.04862043871178213,Switch
0.03879738094529521,Switch
0.04083042197947075,Switch
0.04126405022283457,Switch
0.03938340231262088,Switch
0.029599012255818728,Switch
0.04743478497280674,Switch
0.011543382014272937,Switch
0.01448345846007986,Switch
0.014033959925727852,Switch
0.014442535149353578,Switch
0.011408451370269763,Switch
0.02373645452657776,Switch
0.02086432621933523,Switch
0.026649181809756287,Switch
0.028579005139735412,Switch
0.04225702329702323,Switch
0.020800179800500126,Switch
0.029366574779863958,Switch
0.014650763613149514,Switch
0.01456853921537872,Switch
0.013917899669522992,Switch
0.015157271358139084,Switch
0.0070853795901988864,Switch
0.493139873818301,Non-Switch
3.02719549438254e-05,Non-Switch
2.140393121534827e-05,Non-Switch
3.753303101476865e-05,Non-Switch
6.168329996390379e-05,Non-Switch
0.0001840336758368928,Non-Switch
3.741026450906708e-05,Non-Switch
3.8016121119880655e-05,Non-Switch
4.162170741825133e-05,Non-Switch
4.1824305085712584e-05,Non-Switch
3.1201451691440986e-05,Non-Switch
3.314105018521174e-05,Non-Switch
3.7901463703784336e-05,Non-Switch
2.5925841039871935e-05,Non-Switch
4.44334919477937e-05,Non-Switch
5.192335376252658e-05,Non-Switch
2.7636016724224952e-05,Non-Switch
2.6550042981230555e-05,Non-Switch
2.7062956395916076e-05,Non-Switch
4.0269217089775386e-05,Non-Switch
4.047356398828331e-05,Non-Switch
0.00017384598145750988,Non-Switch
0.0003585372241983182,Non-Switch
0.009265552982753535,Non-Switch
2.838776856235722e-05,Non-Switch
0.007948921430031557,Non-Switch
0.0030732536548501274,Non-Switch
0.033364142966578955,Non-Switch
0.011913731802927917,Non-Switch
0.014985910177379576,Non-Switch
0.028756211717965253,Non-Switch
0.029168264326529986,Non-Switch
0.006464218575438442,Non-Switch
0.05311379869572818,Non-Switch
2.4159693561266226e-05,Non-Switch
0.01968470768739495,Non-Switch
0.018412484201583493,Non-Switch
0.004562017604864191,Non-Switch
0.0016803042601279887,Non-Switch
0.014986308224622198,Non-Switch
0.010748507470117775,Non-Switch
0.0035254062981891006,Non-Switch
0.001810898078068188,Non-Switch
