Mean Entropy,Frame Type
0.04115085587724629,Switch
0.6106011412348729,Non-Switch
1.0971218921920262e-05,Non-Switch
1.3100323647470747e-05,Non-Switch
0.00029846058596394746,Non-Switch
7.477157260568155e-05,Non-Switch
0.0002627905612111443,Non-Switch
0.0007093515968571621,Non-Switch
0.00016877451941216807,Non-Switch
0.00019414869948070762,Non-Switch
0.0003564524766240422,Non-Switch
0.0002754961154472493,Non-Switch
0.00010959459015087697,Non-Switch
0.00035734417475792243,Non-Switch
1.4598746373760595e-05,Non-Switch
0.00021194323547150574,Non-Switch
0.0001476418467747494,Non-Switch
0.00027757712231787,Non-Switch
0.00014852033969776628,Non-Switch
7.655864806772471e-05,Non-Switch
4.3258407573027694e-05,Non-Switch
4.043727907478032e-05,Non-Switch
3.7770296220591634e-05,Non-Switch
4.8849402528782177e-05,Non-Switch
4.7803766066355604e-05,Non-Switch
1.432384731649196e-05,Non-Switch
4.5620502787447514e-05,Non-Switch
6.0785412079987024e-05,Non-Switch
6.889485488594023e-05,Non-Switch
0.00016019325274254867,Non-Switch
0.00011326364434317928,Non-Switch
0.00018602472359491312,Non-Switch
9.011615884126419e-05,Non-Switch
0.00011061429905302332,Non-Switch
8.982010179262316e-05,Non-Switch
0.0001307855840534442,Non-Switch
1.3964850327996596e-05,Non-Switch
0.0002469776256149128,Non-Switch
0.0008860793061608902,Non-Switch
0.002050253551056097,Non-Switch
0.0035397952901788828,Non-Switch
0.003149247546936952,Non-Switch
0.004131702470834125,Non-Switch
0.0042384580141282945,Non-Switch
0.001951619317412779,Non-Switch
0.0017617652506192968,Non-Switch
0.001178831315158363,Non-Switch
1.5174338211981496e-05,Non-Switch
0.0026756190830873007,Non-Switch
0.0024710981208499244,Non-Switch
0.0027691391841927547,Non-Switch
0.0012139496182235838,Non-Switch
0.0005688355148974187,Non-Switch
0.001189819646138856,Non-Switch
0.001523562729053815,Non-Switch
0.0007492633284838575,Non-Switch
0.0006063483488698795,Non-Switch
0.0018269203068625264,Non-Switch
1.4576013834193042e-05,Non-Switch
0.005316329382989216,Non-Switch
0.004629024903876278,Non-Switch
0.02585647635722159,Non-Switch
0.021340507540745405,Non-Switch
0.005635322266363769,Non-Switch
0.002592101015972894,Non-Switch
0.0006491130778502923,Non-Switch
0.0007802504369645101,Non-Switch
0.0007228257825402139,Non-Switch
0.0012290174146319401,Non-Switch
1.697244600837871e-05,Non-Switch
0.001235493216448974,Non-Switch
0.0005730941429159148,Non-Switch
0.0009186079603065273,Non-Switch
0.0009425938297404347,Non-Switch
0.001068644600413216,Non-Switch
0.1711495131574508,Non-Switch
0.2713560538470049,Non-Switch
0.12924175894652837,Non-Switch
0.039143974200954654,Non-Switch
0.02039416762991496,Non-Switch
1.7308444096236843e-05,Non-Switch
0.004622479486035043,Non-Switch
0.19539196189584304,Non-Switch
0.009365691464783006,Non-Switch
