Frame ID,Mean Entropy,Frame Type
1,0.9865031735476656,Switch
10,0.25359815306841293,Switch
1067,0.5516037365647343,Switch
1148,0.3626264605777975,Switch
1254,0.3833443470960513,Switch
1257,0.32601003357956115,Switch
1259,0.29954116502313627,Switch
1260,0.2645028243116991,Switch
1261,0.2388208633062872,Switch
1263,0.29147481254842567,Switch
1264,0.31189866035251257,Switch
1265,0.30346361403099525,Switch
1266,0.3319412337291884,Switch
1267,0.3174014736123831,Switch
1268,0.30396681136920184,Switch
1269,0.28975619133960767,Switch
1270,0.2791065745421958,Switch
1271,0.2625148337165249,Switch
1272,0.24396562185233117,Switch
1273,0.2193320425639504,Switch
1274,0.21467660647709258,Switch
1275,0.21118297147746762,Switch
1276,0.20791622699018286,Switch
1277,0.20133691985168384,Switch
1278,0.19449305811693648,Switch
1279,0.1946838377034678,Switch
1281,0.18987707224580103,Switch
1283,0.19334689215456996,Switch
1284,0.21877337159563026,Switch
13,0.25632156402360823,Switch
1337,0.49968414635791575,Switch
1338,0.5006017521629853,Switch
1394,0.4794919003124036,Switch
1418,0.4485150421446815,Switch
1428,0.3871956873489304,Switch
1448,0.5866223780542786,Switch
16,0.24859341172502136,Switch
18,0.2836234171546589,Switch
2,0.9257696182150358,Switch
3,0.809627872496801,Switch
4,0.6696128960377005,Switch
582,0.4969587162971914,Switch
586,0.4032171861784413,Switch
600,0.41927137898594263,Switch
602,0.42955514939306316,Switch
603,0.4045826968933823,Switch
604,0.40444700264743966,Switch
606,0.3861133691274295,Switch
607,0.4036409394798685,Switch
61,0.5800470832408695,Switch
637,0.5058471812398326,Switch
639,0.518499621292267,Switch
68,0.582024564132905,Switch
7,0.348193117676763,Switch
8,0.27124125249747194,Switch
908,0.7442555516409126,Switch
100,0.690730617222652,Non-Switch
1000,0.6562359595038768,Non-Switch
1001,0.6491435665872722,Non-Switch
1002,0.6428498593372671,Non-Switch
1003,0.6429089311169773,Non-Switch
1004,0.6407909411888913,Non-Switch
1005,0.6420663946200409,Non-Switch
1006,0.641954981412384,Non-Switch
1007,0.6420427348449947,Non-Switch
1008,0.6445445101394192,Non-Switch
1009,0.631091106455173,Non-Switch
101,0.6789537959346693,Non-Switch
1010,0.6162026364591053,Non-Switch
1011,0.604411370800799,Non-Switch
1012,0.5917038971797125,Non-Switch
1013,0.5807798632321217,Non-Switch
1014,0.5781346796731949,Non-Switch
1015,0.5686250550347047,Non-Switch
1016,0.5629341802149767,Non-Switch
1017,0.5336483488138417,Non-Switch
1018,0.5288656573067141,Non-Switch
1019,0.5122875583863488,Non-Switch
102,0.6716228897059482,Non-Switch
1020,0.5095172420565545,Non-Switch
1021,0.5020951136754674,Non-Switch
1022,0.49355352070833775,Non-Switch
1023,0.490554683050199,Non-Switch
1024,0.5104148638940796,Non-Switch
1025,0.5393001875933405,Non-Switch
1026,0.5546445612634909,Non-Switch
1027,0.5799236589439114,Non-Switch
1028,0.6032525595429074,Non-Switch
1029,0.5808901892291091,Non-Switch
103,0.6640647564472986,Non-Switch
1030,0.5831160201012235,Non-Switch
1031,0.5789049943185136,Non-Switch
1032,0.583582278162635,Non-Switch
1033,0.6002072824575994,Non-Switch
1034,0.5885857769795472,Non-Switch
1035,0.59179895045539,Non-Switch
1036,0.6001292621490776,Non-Switch
1037,0.5994529135687667,Non-Switch
1038,0.6110538138160349,Non-Switch
1039,0.6073334306768955,Non-Switch
104,0.6538473576629551,Non-Switch
1040,0.6137623144534767,Non-Switch
1041,0.6375084450898828,Non-Switch
1042,0.6507007628976358,Non-Switch
1043,0.6525228762078041,Non-Switch
1044,0.6474386131697281,Non-Switch
1045,0.6490547259439919,Non-Switch
1046,0.6535646828888815,Non-Switch
1047,0.6507841157156318,Non-Switch
1048,0.6459069921960665,Non-Switch
1049,0.6360488388800922,Non-Switch
105,0.6330737127689362,Non-Switch
1050,0.6264864068662258,Non-Switch
1051,0.6194898955762851,Non-Switch
1052,0.5853451126053466,Non-Switch
1053,0.5794919845361778,Non-Switch
1054,0.5797614574664073,Non-Switch
1055,0.587299813845259,Non-Switch
1056,0.5840427895390791,Non-Switch
1057,0.5809232714966243,Non-Switch
1058,0.579275111893578,Non-Switch
1059,0.5729517393238762,Non-Switch
106,0.6323824538708721,Non-Switch
1060,0.5676920211925154,Non-Switch
1061,0.5692846295075431,Non-Switch
1062,0.564063999188348,Non-Switch
1063,0.556675574338016,Non-Switch
1064,0.5679128802742366,Non-Switch
1065,0.5577392287763568,Non-Switch
1066,0.550377621789206,Non-Switch
1068,0.5723735503354416,Non-Switch
1069,0.5879706746002856,Non-Switch
107,0.6159266920367954,Non-Switch
1070,0.5969513971340256,Non-Switch
1071,0.586569467135029,Non-Switch
1072,0.5854512450754658,Non-Switch
1073,0.5806725917793963,Non-Switch
1074,0.5792392339414841,Non-Switch
1075,0.5692549641878464,Non-Switch
1076,0.5591868756687827,Non-Switch
1077,0.5507555569267036,Non-Switch
1078,0.5388424201295385,Non-Switch
1079,0.5364490034985091,Non-Switch
108,0.6026551113940412,Non-Switch
1080,0.5385704621463502,Non-Switch
1081,0.5295527744498468,Non-Switch
1082,0.5296357130923497,Non-Switch
1083,0.5292776583785231,Non-Switch
1084,0.5484575042029715,Non-Switch
1085,0.5372376971813363,Non-Switch
1086,0.529228889214205,Non-Switch
1087,0.537514987673999,Non-Switch
1088,0.5317289042627835,Non-Switch
1089,0.5340031936675963,Non-Switch
109,0.6033281983423435,Non-Switch
1090,0.5247558974320788,Non-Switch
1091,0.5114229670444022,Non-Switch
1092,0.503082145647576,Non-Switch
1093,0.49829174012188854,Non-Switch
1094,0.4900287837177742,Non-Switch
1095,0.4927520911290962,Non-Switch
1096,0.49207279154839667,Non-Switch
1097,0.484614008636166,Non-Switch
1098,0.4877961707219594,Non-Switch
1099,0.48703341477939055,Non-Switch
11,0.25180943265737965,Non-Switch
110,0.5959064323648129,Non-Switch
1100,0.5008910537449492,Non-Switch
1101,0.515631818405773,Non-Switch
1102,0.5322345607679807,Non-Switch
1103,0.548465269993468,Non-Switch
1104,0.558419149620296,Non-Switch
1105,0.5513358685645408,Non-Switch
1106,0.5377822861828894,Non-Switch
1107,0.5494235685407394,Non-Switch
1108,0.5215221704973886,Non-Switch
1109,0.5258446094877552,Non-Switch
111,0.5879812360753609,Non-Switch
1110,0.5223091039343699,Non-Switch
1111,0.5194836504920503,Non-Switch
1112,0.5121358666119833,Non-Switch
1113,0.5153430863151122,Non-Switch
1114,0.512716230021757,Non-Switch
1115,0.5136780490607202,Non-Switch
1116,0.5140463546180022,Non-Switch
1117,0.521377882109963,Non-Switch
1118,0.511333090962389,Non-Switch
1119,0.5066774995597213,Non-Switch
112,0.5878370512318087,Non-Switch
1120,0.49244896644004843,Non-Switch
1121,0.48241043969680825,Non-Switch
1122,0.47467503932709126,Non-Switch
1123,0.4637279668676941,Non-Switch
1124,0.4587181001025748,Non-Switch
1125,0.443142720051121,Non-Switch
1126,0.4306857708314525,Non-Switch
1127,0.43223375173709344,Non-Switch
1128,0.42277287037695327,Non-Switch
1129,0.4280316048415179,Non-Switch
113,0.5921810273478192,Non-Switch
1130,0.4246217756643346,Non-Switch
1131,0.4275825609490404,Non-Switch
1132,0.4249922297569873,Non-Switch
1133,0.4254090456189042,Non-Switch
1134,0.4166569738433503,Non-Switch
1135,0.4152951389359111,Non-Switch
1136,0.4102215150308153,Non-Switch
1137,0.3983834475417833,Non-Switch
1138,0.4151956073877139,Non-Switch
1139,0.39026879185018426,Non-Switch
114,0.5912344810301658,Non-Switch
1140,0.4057291605443845,Non-Switch
1141,0.38826301759477305,Non-Switch
1142,0.3835868986192261,Non-Switch
1143,0.3722303360269471,Non-Switch
1144,0.3668375640184124,Non-Switch
1145,0.37093280186481914,Non-Switch
1146,0.3587863030632334,Non-Switch
1147,0.35572199979120894,Non-Switch
1149,0.35791436010628336,Non-Switch
115,0.5949843741731919,Non-Switch
1150,0.36282637791114647,Non-Switch
1151,0.3547209635102383,Non-Switch
1152,0.34602226860136387,Non-Switch
1153,0.34671373458717464,Non-Switch
1154,0.34521408278439036,Non-Switch
1155,0.35095310550519687,Non-Switch
1156,0.3676852000511083,Non-Switch
1157,0.3702662122945656,Non-Switch
1158,0.35868441589191896,Non-Switch
1159,0.34744312351657675,Non-Switch
116,0.5897384273769782,Non-Switch
1160,0.3625482590674975,Non-Switch
1161,0.36094428681237656,Non-Switch
1162,0.39400851180766,Non-Switch
1163,0.38169328826455307,Non-Switch
1164,0.3785305665409693,Non-Switch
1165,0.3706998281499233,Non-Switch
1166,0.36970324425550405,Non-Switch
1167,0.3637333445832358,Non-Switch
1168,0.3712600263903744,Non-Switch
1169,0.3601685878856468,Non-Switch
117,0.598532563851055,Non-Switch
1170,0.35063028159425624,Non-Switch
1171,0.3391178337007436,Non-Switch
1172,0.323138114824104,Non-Switch
1173,0.29046536332775047,Non-Switch
1174,0.2684235389596805,Non-Switch
1175,0.25530321002983036,Non-Switch
1176,0.25732190138343414,Non-Switch
1177,0.25424589765372824,Non-Switch
1178,0.2888592684232271,Non-Switch
1179,0.2661197395509809,Non-Switch
118,0.5781033576515255,Non-Switch
1180,0.27105782452594396,Non-Switch
1181,0.2793026866382014,Non-Switch
1182,0.27074463019521905,Non-Switch
1183,0.2699648671714628,Non-Switch
