,frame,track_1_x_no_post_proc,track_1_y_no_post_proc,track_0_x_no_post_proc,track_0_y_no_post_proc,Frame ID,Mean Entropy,Frame Type,flagged,track_1_x_post_proc,track_1_y_post_proc,track_0_x_post_proc,track_0_y_post_proc,post_proc_switch,distance,distance_cm
0,4012,780.6149007161458,427.49436543782554,849.6197204589844,533.2702779134114,4012,0.0044485354939644,Non-Switch,False,780.6149007161458,427.49436543782554,849.6197204589844,533.2702779134114,,0.0,0.0
1,4013,780.6233622233073,427.43287963867186,850.3516276041667,534.0583414713542,4013,0.0044619360327799,Non-Switch,False,780.6233622233073,427.43287963867186,850.3516276041667,534.0583414713542,,0.0,0.0
2,4014,780.6337727864583,427.39292805989584,851.0849222819011,534.8385030110677,4014,0.0044787698424439,Non-Switch,False,780.6337727864583,427.39292805989584,851.0849222819011,534.8385030110677,,0.0,0.0
3,4015,780.6388142903646,427.3572255452474,851.8105916341145,535.6181966145833,4015,0.0043689505222776,Non-Switch,False,780.6388142903646,427.3572255452474,851.8105916341145,535.6181966145833,,0.0,0.0
4,4016,780.637851969401,427.25999145507814,852.5272298177083,536.340565999349,4016,0.0043705262461354,Non-Switch,False,780.637851969401,427.25999145507814,852.5272298177083,536.340565999349,,0.0,0.0
5,4017,780.507002766927,427.2246836344401,852.7868367513021,537.2180826822917,4017,0.0043665629193824,Non-Switch,False,780.507002766927,427.2246836344401,852.7868367513021,537.2180826822917,,0.0,0.0
6,4018,780.2363423665364,427.12900594075523,852.3083068847657,538.4770853678385,4018,0.0043648061434762,Non-Switch,False,780.2363423665364,427.12900594075523,852.3083068847657,538.4770853678385,,0.0,0.0
7,4019,779.9595357259115,427.0884206136068,851.1830342610677,539.8872904459636,4019,0.0043678863796254,Non-Switch,False,779.9595357259115,427.0884206136068,851.1830342610677,539.8872904459636,,0.0,0.0
8,4020,779.5638203938802,427.10999755859376,850.1283325195312,539.9480428059895,4020,0.004380805232657,Non-Switch,False,779.5638203938802,427.10999755859376,850.1283325195312,539.9480428059895,,0.0,0.0
9,4021,779.289481608073,427.0779530843099,849.0034403483073,540.2698181152343,4021,0.004379952037475,Non-Switch,False,779.289481608073,427.0779530843099,849.0034403483073,540.2698181152343,,0.0,0.0
10,4022,779.1430358886719,427.0492808024089,847.2529581705729,542.6543436686198,4022,0.0043625834692559,Non-Switch,False,779.1430358886719,427.0492808024089,847.2529581705729,542.6543436686198,,0.0,0.0
11,4023,778.8701334635417,427.0085154215495,845.4551615397136,545.3718139648438,4023,0.0043671117858893,Non-Switch,False,778.8701334635417,427.0085154215495,845.4551615397136,545.3718139648438,,0.0,0.0
12,4024,778.6069478352864,426.9741475423177,843.6598958333333,548.17529296875,4024,0.00436262008275,Non-Switch,False,778.6069478352864,426.9741475423177,843.6598958333333,548.17529296875,,0.0,0.0
13,4025,778.271484375,426.94700927734374,841.9906494140625,551.1078470865885,4025,0.0043707791815575,Non-Switch,False,778.271484375,426.94700927734374,841.9906494140625,551.1078470865885,,0.0,0.0
14,4026,777.8004374186198,426.9424204508463,840.6620463053385,554.3609781901042,4026,0.0043798163324146,Non-Switch,False,777.8004374186198,426.9424204508463,840.6620463053385,554.3609781901042,,0.0,0.0
15,4027,777.2547810872396,426.90630900065105,839.5430053710937,558.0300069173177,4027,0.0043794374331369,Non-Switch,False,777.2547810872396,426.90630900065105,839.5430053710937,558.0300069173177,,0.0,0.0
16,4028,776.6454833984375,426.864789835612,838.4163635253906,562.1715942382813,4028,0.0043776356461462,Non-Switch,False,776.6454833984375,426.864789835612,838.4163635253906,562.1715942382813,,0.0,0.0
17,4029,776.037900797526,426.8274210611979,837.1630655924479,566.5825276692708,4029,0.0043731620818021,Non-Switch,False,776.037900797526,426.8274210611979,837.1630655924479,566.5825276692708,,0.0,0.0
18,4030,775.4212829589844,426.8446787516276,835.825264485677,571.3368041992187,4030,0.0043650728509465,Non-Switch,False,775.4212829589844,426.8446787516276,835.825264485677,571.3368041992187,,0.0,0.0
19,4031,774.7383199055989,426.8612904866537,834.5024780273437,576.5324259440105,4031,0.004373389824453,Non-Switch,False,774.7383199055989,426.8612904866537,834.5024780273437,576.5324259440105,,0.0,0.0
20,4032,774.0024495442708,426.87974650065104,833.0860453287761,581.9547607421875,4032,0.004364980813356,Non-Switch,False,774.0024495442708,426.87974650065104,833.0860453287761,581.9547607421875,,0.0,0.0
21,4033,773.3069173177083,426.8426584879557,831.6658345540365,587.9746744791667,4033,0.0043635263507032,Non-Switch,False,773.3069173177083,426.8426584879557,831.6658345540365,587.9746744791667,,0.0,0.0
22,4034,772.6123657226562,426.85874735514324,832.1187072753906,594.2421427408855,4034,0.0043672857839619,Non-Switch,False,772.6123657226562,426.85874735514324,832.1187072753906,594.2421427408855,,0.0,0.0
23,4035,771.9297871907552,426.90110168457034,832.5996805826823,601.0360229492187,4035,0.0043932675926759,Non-Switch,False,771.9297871907552,426.90110168457034,832.5996805826823,601.0360229492187,,0.0,0.0
