,frame,track_0_x,track_0_y,track_6_x,track_6_y,track_9_x,track_9_y,track_10_x,track_10_y,track_13_x,track_13_y,track_14_x,track_14_y,track_15_x,track_15_y,track_16_x,track_16_y,track_17_x,track_17_y,track_18_x,track_18_y
0,0,118.18939248236268,97.53761451266503,220.58546954496884,138.6807862407977,212.23895462517515,175.21899921956492,173.27051528346277,228.77024443831212,115.04495184176544,79.93412318351403,,,,,,,,,,
1,1,114.0634292883228,98.07090666979812,221.38263776737855,139.01431261475284,211.60827172733383,175.6868173631036,173.88395345980217,228.2780701889082,124.8610149499337,84.03151952806996,,,,,,,,,,
2,2,114.7485028210284,99.98473139265354,220.47671920757503,138.95300440718344,211.09046389015057,176.25425024421716,173.14603260361716,228.55721846020825,140.13442983335094,95.49773703676163,,,,,,,,,,
3,3,115.52974752377496,100.0065703402868,220.2512577563971,138.67897937972103,212.07597004548492,175.55435089007082,171.69926499276608,231.1694406473449,142.09257836208926,98.47085646632682,,,,,,,,,,
4,4,118.13662638619972,100.0858578042417,219.63121599251133,138.244840754248,212.25037345282647,175.62503246378137,171.21219506488768,231.74443778051133,144.0308834055601,100.0756944569264,,,,,,,,,,
5,5,117.3181955987717,98.43954946396173,221.26381042611044,139.35573941112608,212.4562513563496,175.87741625376577,171.5500690252642,231.1276468547547,144.63143991144008,100.64596815440107,,,,,,,,,,
6,6,116.60225976626982,96.12042709101335,221.44196806958263,139.0464322517282,212.16650371690085,175.9542430538782,171.96854612659703,233.1348079606379,145.69158301283224,102.2281855903592,,,,,,,,,,
7,7,111.95345833761964,93.53145938630392,220.51665264866577,138.75405284597292,212.47919686188604,175.31423611368504,171.27190365093816,232.47075114381084,148.06857411704146,103.58978928702622,,,,,,,,,,
8,8,112.40386775316158,94.2671990522936,222.0134712339401,139.0003529275646,211.25023453027487,175.56156572945991,170.8414257617781,232.14312474326985,154.37225799877962,115.93322893008587,,,,,,,,,,
9,9,112.41217220861124,95.26601439242324,221.82317433083156,139.2614189620209,211.6414091170396,175.51354859102204,170.61079365543563,232.89470098237896,159.70053103373743,119.74718039849787,,,,,,,,,,
10,10,111.18962359876204,93.99694144036638,222.16267435987672,138.97084339871626,212.74243180102155,175.0205032834077,170.19752267806106,233.55406942298745,173.59742360276098,129.3561713853701,,,,,,,,,,
11,11,110.34893293381872,93.26181390271698,221.58484685695672,139.28104544854315,211.9495663719957,174.8630789721838,170.80608040051405,233.28558207023096,190.64283786479396,143.30556494081966,,,,,,,,,,
12,12,105.8724511283571,95.4758840628784,222.70901314758012,140.09327394109474,212.37403933097443,174.7824482338556,170.39476744540835,234.07229319483184,201.0539509535548,148.73285274352395,,,,,,,,,,
13,13,103.38582623889276,99.71746185012948,223.659664639349,140.0248510423064,210.95461667244533,174.79513533744444,169.55900389444997,234.00328466049007,213.78043930558243,155.63535490055585,,,,,,,,,,
14,14,95.61728979779008,100.35313119041705,222.8416243475053,139.2884215791555,211.62987763431784,175.49194236280655,168.86154157696546,235.3344867402982,232.06687450568944,163.07293567851565,,,,,,,,,,
15,15,95.87416614452637,83.51860996946891,222.9445757348977,139.12908430449497,212.1722465446329,174.99168897352857,168.34899015358013,236.50949553719644,244.4582034965512,167.72131406761682,,,,,,,,,,
16,16,100.81162362215576,80.48704270425439,223.58249451634492,139.25018932516684,212.80528989849932,174.83357582186815,168.14473619363744,235.99339383125053,,,,,,,,,,,,
17,17,104.2615938565156,82.67805390288694,223.87253518985685,139.68918442421833,212.50292226238747,175.07678124028533,167.60680866788212,236.55842004404684,,,,,,,,,,,,
18,18,113.0651873050464,84.43994622295651,223.79458163293333,139.0402254797853,212.7653143283357,174.43768080548813,166.1744304140498,237.70092694696388,,,,,,,,,,,,
19,19,114.21292980047782,85.25088951298704,223.77392217765453,139.20523057046293,212.8739333559096,174.23605236113272,166.35459930399068,237.66392816222083,,,,,,,,,,,,
20,20,118.81105265482012,86.18238996181974,223.9051587016305,138.7185740393726,211.746953201502,174.2941764203515,166.3107076866744,237.86812561602656,,,,,,,,,,,,
21,21,138.76378320489184,98.10393452011702,224.19724612948693,138.33881970030686,213.239641602271,173.54210802174524,165.07131268812526,237.5902306304169,,,,,,,,,,,,
22,22,141.0267172929708,99.1184063212408,224.03274061602983,138.88159466951723,212.43549345451527,173.77165930510722,165.91473788380137,237.01872276816056,,,,,,,,,,,,
23,23,143.16755796133734,98.31536106394896,224.1304782074224,138.9353028109405,212.4906672886208,173.1522320918521,166.42614802595557,237.21316657962933,,,,,,,,,,,,
24,24,157.40119466987989,108.06508602819653,224.6302189651358,139.352880869775,212.59371618356195,174.00050166932664,167.1082079048118,236.94375985922605,,,,,,,,,,,,
25,25,165.29102899870088,110.21416783913438,225.05691800536155,139.62029639012223,213.48452577916424,174.16866903830342,166.9101405040837,237.1093754268241,,,,,,,,,,,,
26,26,172.4341977118765,113.73282164167571,225.00402757754787,139.3363934315469,213.5559676185702,174.79763760617976,166.43033804331623,237.9950660949976,,,,,,,,,,,,
27,27,178.71283229241104,117.3522290773318,225.43435353512643,139.42106701811494,211.89969078524013,174.58720719609508,166.86748549172762,237.9887374734824,,,,,,,,,,,,
28,28,182.7108663285963,121.7502635159322,226.75444904160997,139.4577323887333,213.95491273812107,173.89230489837163,166.7644179982902,236.9010303801009,,,,,,,,,,,,
29,29,190.4264910272203,128.51234031729203,226.7271538614137,139.60749022067526,212.35785752035216,173.2428495935948,166.94061887772946,238.0643749396233,,,,,,,,,,,,
30,30,199.2790346809798,134.38283296003084,228.34134255150263,139.86442197495893,211.46431237957103,174.15245910847074,167.5437331560656,237.5145258563273,,,,,,,,,,,,
