segment_length,type
2298,Ground Truth
2,Ground Truth
5,Ground Truth
2,Ground Truth
3,Ground Truth
3,Ground Truth
5,Ground Truth
4,Ground Truth
553,Ground Truth
57,Ground Truth
12,Ground Truth
13,Ground Truth
790,Ground Truth
233,Ground Truth
1053,Ground Truth
237,Ground Truth
746,Ground Truth
557,Ground Truth
644,Ground Truth
9,Ground Truth
374,Ground Truth
26,Ground Truth
35,Ground Truth
470,Ground Truth
2,Ground Truth
4,Ground Truth
26,Ground Truth
189,Ground Truth
1,Ground Truth
2,Ground Truth
1,Ground Truth
1,Ground Truth
1,Ground Truth
5,Ground Truth
4,Ground Truth
1,Ground Truth
1,Ground Truth
1,Ground Truth
1,Ground Truth
1,Ground Truth
2,Ground Truth
2,Ground Truth
1,Ground Truth
4,Ground Truth
5,Ground Truth
5,Ground Truth
7,Ground Truth
19,Ground Truth
2,Ground Truth
2,Ground Truth
7,Ground Truth
2,Ground Truth
3,Ground Truth
97,Ground Truth
1,Ground Truth
3,Ground Truth
1,Ground Truth
2,Ground Truth
5,Ground Truth
13,Ground Truth
1,Ground Truth
2,Ground Truth
1,Ground Truth
804,Ground Truth
16,Ground Truth
987,Ground Truth
60,Ground Truth
35,Ground Truth
5900,Ground Truth
1,Ground Truth
8543,Ground Truth
818,Ground Truth
1,Ground Truth
8,Ground Truth
1285,Ground Truth
515,Ground Truth
283,Ground Truth
461,Ground Truth
3,Ground Truth
940,Ground Truth
2,Ground Truth
3952,Ground Truth
1225,Ground Truth
7294,Ground Truth
48,Ground Truth
453,Ground Truth
5751,Ground Truth
498,Ground Truth
2987,Ground Truth
1,Ground Truth
15,Ground Truth
5,Ground Truth
1,Ground Truth
405,Ground Truth
1,Ground Truth
5,Ground Truth
27,Ground Truth
20,Ground Truth
12,Ground Truth
26,Ground Truth
6,Ground Truth
2,Ground Truth
8,Ground Truth
1,Ground Truth
4,Ground Truth
3,Ground Truth
1,Ground Truth
4,Ground Truth
5,Ground Truth
1,Ground Truth
9,Ground Truth
4,Ground Truth
1,Ground Truth
3,Ground Truth
1,Ground Truth
6,Ground Truth
3,Ground Truth
1,Ground Truth
3,Ground Truth
2,Ground Truth
12,Ground Truth
6460,Ground Truth
2,Ground Truth
5603,Ground Truth
4,Ground Truth
2316,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1006,Ground Truth
492,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
