Frame Type,Mean Entropy,id
Non-Switch,6.2378917e-06,SLAP2m
Non-Switch,8.821531e-06,SLAP2m
Non-Switch,8.009522e-06,SLAP2m
Non-Switch,7.472404e-06,SLAP2m
Non-Switch,8.248291e-06,SLAP2m
Non-Switch,9.646913e-06,SLAP2m
Non-Switch,1.0556074e-05,SLAP2m
Non-Switch,1.2725244e-05,SLAP2m
Non-Switch,1.2417042e-05,SLAP2m
Non-Switch,9.246539e-06,SLAP2m
Non-Switch,7.683009e-06,SLAP2m
Non-Switch,7.989708e-06,SLAP2m
Non-Switch,5.7481516e-06,SLAP2m
Non-Switch,7.293127e-06,SLAP2m
Non-Switch,5.306704e-06,SLAP2m
Non-Switch,5.30946e-06,SLAP2m
Non-Switch,7.601081e-06,SLAP2m
Non-Switch,8.231741e-06,SLAP2m
Non-Switch,1.8932493e-05,SLAP2m
Non-Switch,6.0648204e-06,SLAP2m
Non-Switch,6.3523366e-06,SLAP2m
Non-Switch,6.1595697e-06,SLAP2m
Non-Switch,8.176692e-06,SLAP2m
Non-Switch,8.329536e-06,SLAP2m
Non-Switch,5.650617e-06,SLAP2m
Non-Switch,7.350178e-06,SLAP2m
Non-Switch,5.851577e-06,SLAP2m
Non-Switch,5.5433725e-06,SLAP2m
Non-Switch,6.1634328e-06,SLAP2m
Non-Switch,7.643325e-06,SLAP2m
Non-Switch,5.93854e-06,SLAP2m
Non-Switch,5.980274e-06,SLAP2m
Non-Switch,6.0282e-06,SLAP2m
Non-Switch,5.552194e-06,SLAP2m
Non-Switch,5.80733e-06,SLAP2m
Non-Switch,6.183136e-06,SLAP2m
Non-Switch,6.774679e-06,SLAP2m
Non-Switch,8.371162e-06,SLAP2m
Non-Switch,5.6680346e-06,SLAP2m
Non-Switch,9.911386e-06,SLAP2m
Non-Switch,7.039117e-06,SLAP2m
Non-Switch,5.638427e-06,SLAP2m
Non-Switch,8.3937575e-06,SLAP2m
Non-Switch,6.243553e-06,SLAP2m
Non-Switch,1.0698773e-05,SLAP2m
Non-Switch,6.4075166e-06,SLAP2m
Non-Switch,7.0288247e-06,SLAP2m
Non-Switch,7.814475e-06,SLAP2m
Non-Switch,6.6043754e-06,SLAP2m
Non-Switch,8.001711e-06,SLAP2m
Non-Switch,7.7309e-06,SLAP2m
Non-Switch,7.304391e-06,SLAP2m
Non-Switch,9.620493e-06,SLAP2m
Non-Switch,6.342235e-06,SLAP2m
Non-Switch,7.3204556e-06,SLAP2m
Non-Switch,5.4240672e-06,SLAP2m
Non-Switch,8.63371e-06,SLAP2m
Non-Switch,5.8312758e-06,SLAP2m
Non-Switch,7.910114e-06,SLAP2m
Non-Switch,8.86491e-06,SLAP2m
Non-Switch,5.7851776e-06,SLAP2m
Non-Switch,8.603941e-06,SLAP2m
Non-Switch,1.151396e-05,SLAP2m
Non-Switch,1.4380764e-05,SLAP2m
Non-Switch,8.2008255e-06,SLAP2m
Non-Switch,5.9308713e-06,SLAP2m
Non-Switch,5.5815403e-06,SLAP2m
Non-Switch,5.215438e-06,SLAP2m
Non-Switch,7.517071e-06,SLAP2m
Non-Switch,6.2596746e-06,SLAP2m
Non-Switch,5.239194e-06,SLAP2m
Non-Switch,8.246925e-06,SLAP2m
Non-Switch,8.384122e-06,SLAP2m
Non-Switch,7.521876e-06,SLAP2m
Non-Switch,5.176578e-06,SLAP2m
Non-Switch,5.697542e-06,SLAP2m
Non-Switch,8.701334e-06,SLAP2m
Non-Switch,7.373893e-06,SLAP2m
Non-Switch,9.423833e-06,SLAP2m
Non-Switch,9.126349e-06,SLAP2m
Non-Switch,6.0426955e-06,SLAP2m
Non-Switch,9.354324e-06,SLAP2m
Non-Switch,5.6537615e-06,SLAP2m
Non-Switch,5.6504996e-06,SLAP2m
Non-Switch,1.977626e-05,SLAP2m
Non-Switch,1.3835933e-05,SLAP2m
Non-Switch,5.5660967e-06,SLAP2m
Non-Switch,9.010598e-06,SLAP2m
Non-Switch,5.472732e-06,SLAP2m
