,frame,track_14_x,track_14_y,track_16_x,track_16_y,track_17_x,track_17_y,track_12_x,track_12_y,track_13_x,track_13_y,track_10_x,track_10_y,track_11_x,track_11_y,track_7_x,track_7_y,track_43_x,track_43_y,track_42_x,track_42_y,track_39_x,track_39_y,track_40_x,track_40_y,track_90_x,track_90_y,track_91_x,track_91_y,track_92_x,track_92_y,track_93_x,track_93_y,track_86_x,track_86_y,track_87_x,track_87_y,track_88_x,track_88_y,track_89_x,track_89_y,track_82_x,track_82_y,track_83_x,track_83_y,track_84_x,track_84_y,track_85_x,track_85_y,track_80_x,track_80_y,track_81_x,track_81_y,track_78_x,track_78_y,track_79_x,track_79_y,track_51_x,track_51_y,track_52_x,track_52_y,track_8_x,track_8_y,track_9_x,track_9_y,track_47_x,track_47_y,track_48_x,track_48_y,track_108_x,track_108_y,track_109_x,track_109_y,track_57_x,track_57_y,track_58_x,track_58_y,track_118_x,track_118_y,track_119_x,track_119_y,track_116_x,track_116_y,track_117_x,track_117_y,track_96_x,track_96_y,track_97_x,track_97_y,track_18_x,track_18_y,track_19_x,track_19_y,track_104_x,track_104_y,track_105_x,track_105_y,track_134_x,track_134_y,track_135_x,track_135_y,track_114_x,track_114_y,track_115_x,track_115_y,track_110_x,track_110_y,track_111_x,track_111_y,track_120_x,track_120_y,track_121_x,track_121_y,track_94_x,track_94_y,track_95_x,track_95_y,track_106_x,track_106_y,track_107_x,track_107_y,track_112_x,track_112_y,track_113_x,track_113_y,track_98_x,track_98_y,track_99_x,track_99_y,track_102_x,track_102_y,track_103_x,track_103_y,track_28_x,track_28_y,track_29_x,track_29_y,track_100_x,track_100_y,track_101_x,track_101_y,track_130_x,track_130_y,track_131_x,track_131_y,track_26_x,track_26_y,track_27_x,track_27_y,track_140_x,track_140_y,track_141_x,track_141_y,track_55_x,track_55_y,track_56_x,track_56_y,track_45_x,track_45_y,track_46_x,track_46_y,track_53_x,track_53_y,track_54_x,track_54_y,track_59_x,track_59_y,track_60_x,track_60_y,track_142_x,track_142_y,track_143_x,track_143_y,track_49_x,track_49_y,track_50_x,track_50_y,track_61_x,track_61_y,track_62_x,track_62_y,track_132_x,track_132_y,track_133_x,track_133_y,track_128_x,track_128_y,track_129_x,track_129_y,track_24_x,track_24_y,track_25_x,track_25_y,track_138_x,track_138_y,track_139_x,track_139_y,track_136_x,track_136_y,track_137_x,track_137_y,track_22_x,track_22_y,track_23_x,track_23_y,track_20_x,track_20_y,track_21_x,track_21_y,track_126_x,track_126_y,track_127_x,track_127_y
10,660,394.726,299.502,135.429,583.685,133.091,619.723,1016.09,546.686,736.131,549.451,646.769,660.665,704.48,705.667,781.419,715.203,967.844,787.802,995.697,883.657,988.591,683.221,,,757.781,274.2,849.997,191.78,823.524,448.227,798.567,421.099,655.061,388.35,693.016,382.593,805.423,393.375,946.786,465.499,688.614,607.275,703.612,503.705,670.849,650.331,579.452,595.671,773.101,521.272,854.225,605.905,904.772,480.881,818.269,377.249,1187.92,674.161,1197.92,667.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,661,395.772,300.641,135.773,582.407,132.852,620.947,1016.96,548.018,736.145,548.873,647.973,660.135,709.77,709.546,781.745,715.958,967.785,787.248,996.238,884.195,988.494,683.263,,,757.145,274.452,850.991,190.411,823.59,448.088,798.469,419.092,654.36,387.815,692.867,382.363,805.016,393.196,946.164,463.768,689.805,607.1,703.448,503.686,671.78,649.892,578.36,594.97,773.221,523.212,851.363,605.816,904.022,481.077,816.072,379.357,1187.92,674.497,1197.99,667.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,662,397.005,301.974,136.037,581.48,132.522,622.611,1017.72,549.224,736.283,548.847,648.546,660.004,713.851,712.5,782.0,716.0,968.874,787.222,996.644,884.564,988.355,683.34,,,756.53,274.753,851.996,189.107,823.633,447.953,798.394,417.615,652.515,386.346,692.84,382.373,804.366,392.5,945.591,462.17,690.17,606.504,704.84,502.541,672.88,649.372,577.928,594.144,773.311,524.662,849.324,605.743,904.46,481.386,814.45,380.828,1187.62,674.309,1197.99,667.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,663,398.33,303.401,136.656,580.446,132.153,624.485,1018.35,550.242,736.496,548.864,649.276,659.861,716.49,713.973,782.0,710.0,970.468,787.236,996.772,884.384,988.23,683.413,,,756.026,275.098,852.703,188.176,823.641,447.829,798.121,415.366,649.87,384.233,692.83,382.409,803.446,391.495,945.181,460.996,690.569,605.651,706.302,501.308,674.081,648.803,577.419,593.017,773.389,525.985,848.307,605.596,905.185,481.815,813.989,380.433,1187.19,674.002,1198.47,666.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,664,399.654,304.823,137.539,579.007,131.798,626.344,1018.79,551.007,736.717,548.894,650.058,659.715,719.885,715.792,,,972.256,787.263,996.925,884.086,988.176,683.446,,,755.728,275.485,852.966,187.777,823.063,447.047,797.98,413.062,646.947,381.903,692.867,382.363,802.436,390.383,944.813,459.543,690.947,604.801,706.694,500.588,675.313,648.217,576.935,591.902,773.494,527.756,847.051,605.388,905.922,482.245,813.496,379.678,1186.71,673.653,1199.17,665.738,782.0,710.0,783.593,719.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,665,400.884,306.139,138.555,577.365,131.507,627.959,1018.05,551.952,736.876,548.907,650.786,659.577,723.22,717.569,,,973.926,787.276,997.081,883.745,988.591,683.221,,,756.754,278.72,853.274,187.3,822.219,445.933,798.958,411.15,644.268,379.782,693.295,381.625,801.52,389.365,944.311,457.519,691.249,604.211,707.029,499.741,676.509,647.649,576.581,591.114,773.592,529.5,845.833,605.189,906.395,482.56,813.036,378.979,1186.25,673.344,1199.99,664.792,784.431,706.707,784.979,714.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,666,401.925,307.249,139.573,575.723,131.332,629.104,1017.03,553.207,736.906,548.873,651.351,659.459,725.676,718.919,,,975.168,787.248,997.219,883.432,988.514,684.459,,,758.226,283.124,853.55,186.838,821.362,444.732,800.319,408.851,642.358,378.296,693.918,380.559,800.877,388.643,943.762,455.295,691.769,604.108,707.253,498.93,677.6,647.13,576.317,590.817,773.649,530.743,844.932,605.068,906.016,482.818,812.671,378.752,1185.91,673.154,1200.8,663.84,785.03,703.114,784.232,717.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,667,402.685,308.054,140.465,574.285,131.9,629.727,1015.8,554.703,735.569,548.198,652.465,659.086,727.806,720.558,,,977.023,786.673,997.315,883.221,989.189,685.473,,,759.438,286.383,853.716,186.486,820.744,443.69,801.291,407.268,640.831,377.543,694.638,379.321,800.569,388.134,943.25,453.239,692.493,604.026,707.205,496.879,678.517,646.694,575.96,590.436,773.511,531.334,844.127,605.268,905.412,483.159,812.077,382.014,1185.33,673.46,1201.51,663.006,788.176,704.73,784.551,715.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,668,403.358,308.556,141.099,573.254,132.505,630.277,1014.41,556.372,733.721,547.272,654.042,658.55,730.643,722.797,,,979.412,785.878,997.325,883.206,992.905,688.514,,,760.813,286.98,853.385,186.052,820.33,440.793,801.093,407.919,638.819,376.612,695.359,378.07,800.24,387.522,942.862,451.721,693.227,603.946,707.253,494.649,679.191,646.373,575.556,590.019,773.31,532.096,843.054,605.574,904.78,483.497,811.421,383.99,1184.5,673.915,1202.01,662.416,785.03,706.347,782.512,716.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,669,404.258,309.217,141.58,572.366,132.634,630.831,1012.93,558.145,732.339,546.59,655.857,657.932,733.445,725.039,,,981.208,785.235,997.33,883.208,992.617,691.275,,,762.682,287.49,852.883,185.458,819.556,439.635,800.464,408.096,636.818,375.695,695.984,376.961,800.05,386.987,942.205,449.737,693.777,603.85,708.257,492.403,679.7,646.119,575.148,589.615,773.077,532.9,841.991,605.881,904.318,483.747,810.601,386.295,1183.55,674.45,1202.23,661.988,783.832,707.186,780.599,717.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
