,id,frame_id,oid,hid,score_vs_top_post,switch,score_vs_top_pre,diff_vs_top
59,group1.centroids_sample_1_17032_18532,712,4,3,-8.448481,False,7.1736345,-15.622115
60,group1.centroids_sample_1_17032_18532,714,0,3,-9.778495,False,7.7059703,-17.484465
61,group1.centroids_sample_1_17032_18532,714,4,4,-4.8189683,False,7.31288,-12.131848
62,group1.centroids_sample_1_17032_18532,716,1,5,-0.48319966,False,2.66459,-3.1477895
63,group1.centroids_sample_1_17032_18532,716,4,0,-5.186575,False,6.698473,-11.885048
64,group1.centroids_sample_1_17032_18532,716,5,4,-2.9167347,False,5.202102,-8.118837
65,group1.centroids_sample_1_17032_18532,717,0,5,-7.75863,False,7.7958355,-15.554465
66,group1.centroids_sample_1_17032_18532,717,1,3,-3.0529609,False,2.9125938,-5.9655547
67,group1.centroids_sample_1_17032_18532,718,0,0,-5.8146195,False,7.759362,-13.573982
68,group1.centroids_sample_1_17032_18532,718,1,5,-0.42705935,False,2.4251041,-2.8521636
69,group1.centroids_sample_1_17032_18532,718,4,3,-7.482239,False,6.19313,-13.675369
70,group1.centroids_sample_1_17032_18532,722,0,5,-7.5700083,False,7.6809635,-15.250972
71,group1.centroids_sample_1_17032_18532,722,1,4,-1.0609148,False,3.2986581,-4.359573
72,group1.centroids_sample_1_17032_18532,722,4,0,-2.5899928,False,4.7471247,-7.337117
73,group1.centroids_sample_1_17032_18532,722,5,3,-6.5321007,False,5.868089,-12.40019
74,group1.centroids_sample_1_17032_18532,725,0,3,-9.511869,False,7.702354,-17.214224
75,group1.centroids_sample_1_17032_18532,725,5,5,-2.9200828,False,6.2029366,-9.123019
76,group1.centroids_sample_1_17032_18532,726,0,4,-7.306314,False,7.704201,-15.010515
77,group1.centroids_sample_1_17032_18532,726,1,5,-0.64098454,False,3.2864318,-3.9274163
78,group1.centroids_sample_1_17032_18532,726,5,3,-6.970951,False,6.549741,-13.520692
79,group1.centroids_sample_1_17032_18532,727,0,5,-7.6853075,False,7.5847907,-15.270098
80,group1.centroids_sample_1_17032_18532,727,1,4,-1.2575014,False,2.8068578,-4.064359
81,group1.centroids_sample_1_17032_18532,728,0,3,-9.575684,False,7.6707087,-17.246391
82,group1.centroids_sample_1_17032_18532,728,4,5,-4.5226336,False,5.6651287,-10.187762
83,group1.centroids_sample_1_17032_18532,728,5,0,-4.412462,False,6.321938,-10.7344
84,group1.centroids_sample_1_17032_18532,730,0,0,-5.840196,False,7.6907973,-13.530993
85,group1.centroids_sample_1_17032_18532,730,5,3,-6.7392635,False,6.169311,-12.908575
86,group1.centroids_sample_1_17032_18532,732,4,3,-7.309713,False,5.7906065,-13.100319
87,group1.centroids_sample_1_17032_18532,732,5,5,-2.8848436,False,6.3561363,-9.24098
88,group1.centroids_sample_1_17032_18532,733,0,5,-7.726365,False,7.6205764,-15.346941
89,group1.centroids_sample_1_17032_18532,733,5,0,-3.2803957,False,4.98435,-8.264746
90,group1.centroids_sample_1_17032_18532,734,4,0,-3.8177056,False,5.9715977,-9.789303
91,group1.centroids_sample_1_17032_18532,734,5,3,-6.004831,False,5.359463,-11.364294
92,group1.centroids_sample_1_17032_18532,735,0,3,-9.249649,False,7.3389273,-16.588577
93,group1.centroids_sample_1_17032_18532,735,4,5,-4.830058,False,5.42347,-10.253529
94,group1.centroids_sample_1_17032_18532,735,5,0,-3.63239,False,5.3740797,-9.00647
95,group1.centroids_sample_1_17032_18532,736,0,5,-7.35273,False,7.043635,-14.396364
96,group1.centroids_sample_1_17032_18532,736,4,3,-7.2400475,False,5.5715165,-12.8115635
97,group1.centroids_sample_1_17032_18532,737,0,3,-8.889562,False,6.929205,-15.818767
98,group1.centroids_sample_1_17032_18532,737,4,5,-4.9034967,False,5.38192,-10.285417
