Frame ID,Mean Entropy,Frame Type
1518,0.49204597575416364,Switch
1519,0.9991583196545127,Switch
1524,0.9993738139160439,Switch
1526,0.9483908469376457,Switch
1713,0.9705644841220622,Switch
1714,0.853900052909276,Switch
2350,0.9182870037306197,Switch
2351,0.7633972785804385,Switch
2352,0.9225747031992804,Switch
2510,0.9866733251064526,Switch
2511,0.9520773810502154,Switch
4680,0.9999996587825336,Switch
4681,1.0000000027478353,Switch
4682,0.9999993148172319,Switch
4683,0.9999988848606047,Switch
5976,0.789068354952801,Switch
5993,0.9573495092124148,Switch
7030,0.062444965723463614,Switch
7032,0.485552813766501,Switch
7041,0.48089337379800035,Switch
7047,0.9040950813727462,Switch
7050,0.9976999067751962,Switch
7053,0.89900697464697,Switch
7056,0.8411437557294797,Switch
7059,0.9490093825414738,Switch
7065,0.9999706797058633,Switch
7066,0.9995988532146979,Switch
7067,0.9999468601087187,Switch
7068,0.9999998307651845,Switch
7069,0.9996990331088255,Switch
7071,0.9953475280766947,Switch
7072,0.9999812566388913,Switch
7073,0.9949375214370377,Switch
7074,0.6444833142943667,Switch
7075,0.9628347238790332,Switch
7076,0.9996011749804845,Switch
7077,0.9927963374337957,Switch
7080,0.9999845243092577,Switch
7081,0.9999974230080724,Switch
7084,0.9999963911121672,Switch
7085,0.999656897359364,Switch
7111,0.9450185251282023,Switch
7112,0.7012248623629297,Switch
7114,0.9981252198707798,Switch
7115,0.9999978529646996,Switch
7120,0.9997270662809161,Switch
7121,0.9999693898359817,Switch
7122,0.9999196868498824,Switch
7123,0.9998017067513906,Switch
7124,0.8972389929961003,Switch
7125,0.9999435924383523,Switch
7129,0.996678329829071,Switch
7130,0.9980793005029995,Switch
7156,0.9998495179283304,Switch
7157,0.8147161276759717,Switch
7290,0.9854645450448634,Switch
8535,0.9434928670323983,Switch
8550,0.46459745868513397,Switch
8570,0.2874601438106652,Switch
8571,0.9749777309258527,Switch
8575,0.9151479763870717,Switch
8577,0.9498254402198179,Switch
8578,0.9733821618824731,Switch
8582,0.9889642200072707,Switch
8584,0.779044518129913,Switch
8592,0.5628934978508315,Switch
8610,0.4861611164026028,Switch
8611,0.8943993874477044,Switch
8613,0.7203464954251347,Switch
8614,0.23860354882970347,Switch
8615,0.8335896757643071,Switch
8621,0.5261269607580549,Switch
8634,0.8536990051904173,Switch
8711,0.9883302919561904,Switch
8712,0.25901810446543244,Switch
8730,0.6790914691188151,Switch
8743,0.9127119281289254,Switch
8757,0.9933686097045418,Switch
8759,0.9492885103838241,Switch
8760,0.9843736590904405,Switch
8772,0.9351934142583863,Switch
8788,0.9965538143898464,Switch
8811,0.45006475270457574,Switch
8817,0.9450436345952283,Switch
8818,0.5590326163259496,Switch
8830,0.8704422041825152,Switch
8832,0.03193001680015248,Switch
8839,0.8661455616160096,Switch
8841,0.9027795000849711,Switch
8901,0.4372074587130603,Switch
8902,0.5639313701531258,Switch
8912,0.9894724287405703,Switch
8913,0.32389632372896576,Switch
1,0.8427796547044868,Non-Switch
10,0.0044740493889428344,Non-Switch
100,0.004354339050930256,Non-Switch
1000,0.0051850391037542845,Non-Switch
1001,0.005847360415600479,Non-Switch
1002,0.007830895447037484,Non-Switch
1003,0.041384228272780356,Non-Switch
1004,0.014426108983770287,Non-Switch
1005,0.014858803897196515,Non-Switch
1006,0.010658404434451147,Non-Switch
1007,0.026895224696143756,Non-Switch
1008,0.009365927940927943,Non-Switch
1009,0.019330601388304617,Non-Switch
101,0.004354336363701336,Non-Switch
1010,0.06518495032134716,Non-Switch
1011,0.3432487790064601,Non-Switch
1012,0.3023174885425583,Non-Switch
1013,0.05405422240859051,Non-Switch
1014,0.12514254171429764,Non-Switch
1015,0.06658657667913201,Non-Switch
1016,0.32350366583921464,Non-Switch
1017,0.07618691159872813,Non-Switch
