Mean Entropy,Frame Type,pred_path,id,Mean Entropy_x,num_switches,num_frames,num_switches_per_100_frames,num_instances,instance_bin,num_switches_per_100_frames_bin
0.3579250590660174,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.3358888831843747,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.3905288580555232,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.3893597108809029,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.3880794000569061,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.4062883939626812,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.3705312346412069,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.3730050695950843,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.3776644287562556,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.4036724389929416,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.4246034394573121,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.4161668355781365,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.4275072318346981,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.4165647242886571,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
0.4771958447543826,Switch,090303-C2C12P15-FGF2-exp1_F0003_frame_meta_entropy_histogram.csv,Mouse C2C12 - Phase Contrast,0.39267159242290384,318.0,1013,31.391905231984204,154,151-200,31-40
