,frame,track_0_x,track_0_y,track_1_x,track_1_y,track_2_x,track_2_y,track_3_x,track_3_y,track_4_x,track_4_y,track_5_x,track_5_y,track_6_x,track_6_y,track_7_x,track_7_y,track_8_x,track_8_y,track_9_x,track_9_y
0,0,1069.749599743836,560.0313800832532,1000.6756352765321,515.465620328849,1361.9739583333333,485.7867324561403,979.1741595787768,736.714054272985,2997.124886877828,741.2594268476621,1385.4179983179142,907.5592935239697,970.1210627225418,878.1029854834292,2893.1128654970757,629.3909356725146,1580.9083479276123,641.9629305312317,1127.005304299274,748.2465103294248
1,1,1068.0547550432277,562.3515850144092,999.0448148148147,512.0133333333333,1366.1747866776768,489.0734929810074,986.0868347338935,736.7106842737095,3002.770481550969,747.1166353971231,1383.2615085967832,907.9683860232946,977.4189928845101,885.1735084838532,2891.6173835125446,628.1445639187574,1577.2986230636834,638.2897303499713,1124.1941666666667,751.4302777777777
2,2,1066.62072243346,564.4670468948035,997.828581871345,509.38706140350877,1369.9168048645658,492.1658374792703,992.6583826429979,736.8745562130177,3007.250155183116,752.1585971446306,1380.32994637313,908.6223539373412,983.6440231700894,891.0939968404423,2886.355337496283,624.7332738626227,1573.9461163657209,634.9802235597592,1121.48462585034,754.5336054421768
3,3,1064.7496598639455,568.4027210884353,996.8303099017384,506.79100529100526,1373.7268401903161,495.1491743632801,998.6252465483234,736.7648915187376,3011.5287247474744,756.5334595959595,1378.619285120532,909.0110834026045,988.8997026223303,895.7334414706677,2877.381037567084,622.3097793679188,1570.5844231328101,631.6649229875036,1118.6380873866447,757.5144270403957
4,4,1060.7231389805647,582.7528419508617,996.1436011904761,505.0465029761904,1376.7859531772576,497.5992196209587,1004.5510283275125,736.7345750873109,3015.1970669110906,760.6620837152459,1375.7539882451722,909.5471592499299,994.1145584725537,900.1957040572793,2867.4301164725457,619.561286744315,1567.1797587525741,628.3174463077376,1116.2484798231067,760.1882255389718
5,5,1057.3789511494253,592.985632183908,995.89752127266,503.4761376248613,1379.2851205320032,499.641174840676,1009.1513743708865,736.8161053039101,3018.2171393717595,764.0506251906069,1374.3914600550963,909.8796143250688,998.4844621513944,903.6026560424966,2858.808859721083,617.1178561662565,1564.4770266315481,625.7266608135791,1113.6751854905194,763.026106073097
6,6,1053.9811579307982,601.0335731414867,996.9027484143763,501.9256518675123,1382.3330583058305,502.0761826182618,1014.4134874759152,737.0431599229286,3021.6234567901233,768.2126543209877,1372.0933443800054,910.3976801988401,1002.946347941567,907.2557768924303,2845.0062611806798,616.1449016100179,1561.5864726027398,623.1646689497716,1111.4798898071624,765.6143250688705
7,7,1050.2960301163587,608.2347707049965,1001.9906609195401,497.0305316091954,1384.6088154269971,503.9349862258953,1019.5618153364632,737.0817683881064,3023.921296296296,771.253086419753,1370.279399499583,910.7595218237419,1007.0922213311949,910.4212777332264,2834.5499231950844,615.9192012288786,1558.951673944687,620.7592430858806,1109.449644225506,768.1871921182266
8,8,1046.8034458509142,614.7686357243318,1008.7269345238094,492.1770833333333,1387.6026823134953,506.1078513551271,1023.9843373493976,737.1096385542169,3026.94703196347,775.5324200913242,1368.0831908831908,911.1575498575498,1011.018640350877,913.0775767543859,2825.736046870182,615.6978106691334,1552.8957802322288,617.0274709713962,1108.644927536232,769.8733225979603
9,9,1043.540194040194,620.4369369369368,1014.2851063829787,488.49007092198576,1389.6896165687097,507.9059613769941,1027.4325259515572,737.3494809688582,3028.6951219512193,787.0196476964769,1367.0792733278283,911.4238921001926,1014.9305441618812,915.9042931364506,2818.090515909793,615.5678097003398,1536.4976641934595,614.1456444078043,1103.7459064327484,781.3026315789474
10,10,1041.0882051282051,624.9022222222222,1018.0659075224293,486.09972394755,1391.8987945051863,509.7560975609756,1031.1315688530879,737.4706559263522,3027.571810287241,800.9859719438878,1365.501393534002,911.8363991081382,1018.0178238893322,918.2162809257782,2811.638837353123,615.6150278293136,1516.1595925297113,611.4524617996605,1098.6212624584718,795.5166112956811
11,11,1037.9763167196888,630.0583244962885,1021.8029327610872,482.7489270386266,1394.0644981929386,511.3383375034751,1034.704563031709,737.6674400618715,3027.3900848010435,811.8294194390085,1365.0702436495592,912.3494038361845,1021.3909997305308,920.4648342764754,2806.4833641404807,615.6873074553296,1499.4297872340426,608.9344680851063,1093.6311874105866,810.041487839771
12,12,1035.4860960635608,634.3990610328638,1024.907327586207,479.6558908045977,1396.30884009009,512.9701576576576,1038.357339630067,737.689885871704,3027.531954887218,820.8176691729324,1358.951674903899,914.4651290499725,1024.685534591195,922.6374077112387,2801.331784386617,615.6567534076827,1485.5210860774118,607.130849220104,1090.3837946943481,823.9671280276816
13,13,1033.2671033478894,638.7889374090247,1026.7894736842106,478.1320949432405,1398.7778740612362,514.3665511265165,1041.5232512700272,738.0887065259867,3027.7315521628498,829.680661577608,1351.7718011409943,919.3963596848682,1027.6788222582386,924.6042679632629,2796.395538799874,615.9076343072574,1473.8450014405068,606.0538749639873,1087.5627118644068,835.3754237288135
14,14,1028.405529953917,643.5138248847926,1028.6326388888888,476.90451388888886,1404.5331040412725,515.530237890513,1044.5851148060174,738.3076009501187,3027.76245210728,837.220945083014,1344.6663881927038,924.8042328042327,1030.5870895937674,926.6658319421257,2791.96407372696,616.1315213995625,1463.1624891961972,605.44482857966,1084.956732137774,845.3034443495587
15,15,1022.3883696780892,641.6773970231914,1031.8160237388724,475.79887899769204,1415.665024630542,516.0908593322387,1047.2947083816143,738.5728080339899,3027.906349206349,844.1606349206348,1339.4268665001387,928.6655564807105,1033.0452069716775,928.1805555555555,2789.04546823246,616.2598614875037,1453.5864942528735,604.8459770114941,1082.7856540084388,853.9218002812939
16,16,1014.1478114478114,636.589898989899,1043.0661521499449,479.27526644615943,1424.8784219001611,516.6709608158883,1050.3496124031008,738.8802325581395,3027.9908805031446,850.3713836477987,1334.5197978096041,932.6534681269305,1035.295965339832,929.5800162469537,2786.2125,616.4181547619047,1445.1529209621992,604.5793241695303,1080.7672534227438,861.9483095836825
