video_path,track_name,x,y,condition,x(µm),y(µm),t(s),frames,total_distance,net_displacement,frame,is_moving,confinement_ratio,count,mean,std,min,25%,50%,75%,max
apple,1,382.0,34.0,cmt,21.05823232323232,1.8757303370786516,323.0526,499,23.311686559272623,0.12328498309164065,summary,False,0.005288548418758743,468.0,0.07476487922475246,0.05916283227076807,0.0,0.0,0.08515023575264623,0.12046680277921765,0.26928934580056696
apple,2,260.0,27.0,cmt,14.332828282828281,1.4895505617977527,299.0988,462,4.462049858192704,0.28109818304257733,summary,False,0.0629975441727656,51.0,0.0617490201930031,0.06799223732022798,0.0,0.0038282467823794117,0.04260776901903162,0.10284117040864268,0.2409336055584431
apple,3,252.0,26.0,cmt,13.89181818181818,1.4343820224719102,323.0526,499,30.10418259983685,0.38995104059634017,summary,True,0.012953384112095226,465.0,0.09713487283462947,0.060982946410656366,0.0,0.08515023575264372,0.08521553803806392,0.12046680277922152,0.3070860067327276
apple,4,254.0,23.0,cmt,14.002070707070706,1.268876404494382,285.5034,441,2.4947551870965485,0.24656996618327806,summary,False,0.09883533561072246,29.0,0.03212072382771088,0.04159834663108635,0.0,0.005012678708121406,0.01419170595877398,0.04015560092640776,0.1905185406756971
apple,5,412.0,33.0,cmt,22.7120202020202,1.820561797752809,260.2548,402,0.4087477838768453,0.0779902081192659,summary,False,0.19080276687876588,5.0,0.00397759622527254,0.004267069754280982,0.0007170643022572747,0.0010778510854765394,0.001576856217641604,0.005872430051906474,0.010643779469080808
apple,6,371.0,38.0,cmt,20.451843434343434,2.0964044943820226,321.7578,497,6.930570308703178,0.5429994245152261,summary,True,0.07834844757773334,63.0,0.07529842756509218,0.07310966331637067,0.0,0.012779424299977138,0.06732233645014177,0.1204668027792214,0.3510992599006896
banana,1,353.0,41.0,cmt,19.459570707070707,2.259183673469388,323.0526,499,17.820892504690242,0.951614212965781,summary,True,0.0533987965370044,499.0,0.05516405843720263,0.04802629864330373,0.0,0.0,0.08511282177375058,0.08515023575264599,0.17030047150529024
banana,2,396.0,37.0,cmt,21.829999999999995,2.038775510204082,323.0526,499,21.4766151184283,1.2726844052165438,summary,True,0.059259077754971724,467.0,0.06819786381841524,0.04829650257594207,0.0,0.0,0.08511282177375129,0.08515023575264692,0.1903849863440379
banana,3,644.0,31.0,cmt,35.501313131313125,1.7081632653061225,37.5492,58,0.976403726699037,0.19873369892585713,summary,False,0.203536399433586,11.0,0.08295175496698791,0.07359736881777898,0.0037005574684239656,0.02055069872429329,0.06386267681448356,0.14534731848723542,0.1903849863440178
banana,4,599.0,36.0,cmt,33.02063131313131,1.9836734693877551,323.0526,499,19.38578388386777,1.4427840378828487,summary,True,0.07442484897830144,317.0,0.09266725304818937,0.08724873682471128,0.0,0.0,0.08515023575264051,0.12039416546918834,0.6812018860211569
