,frame,track_3_x,track_3_y,track_2_x,track_2_y,track_0_x,track_0_y,track_1_x,track_1_y
0,0,242.19235229492188,49.6234016418457,497.61138916015625,750.56982421875,886.4263916015625,547.055419921875,219.2278594970703,201.06668090820312
1,1,242.15182495117188,49.59516906738281,497.5577087402344,750.1854248046875,885.2803955078125,547.7716064453125,218.57095336914062,198.7870330810547
2,2,241.9398193359375,50.293006896972656,497.109375,750.1445922851562,884.5355224609375,547.2791137695312,218.2418212890625,197.20828247070312
3,3,239.95504760742188,52.076507568359375,497.4650573730469,750.2855224609375,883.4386596679688,547.6585083007812,216.99826049804688,199.7146453857422
4,4,237.50877380371094,53.58582305908203,496.98687744140625,750.84814453125,881.25146484375,547.5415649414062,216.79209899902344,202.66278076171875
5,5,236.53604125976562,54.824241638183594,496.6921691894531,750.8037109375,877.1027221679688,546.29833984375,216.85882568359375,203.8409881591797
6,6,236.6776123046875,54.72578048706055,497.2945251464844,751.0067749023438,877.2074584960938,546.1089477539062,216.6537322998047,205.29058837890625
7,7,236.25840759277344,55.66265106201172,496.6300048828125,750.8853149414062,878.8804931640625,546.6329956054688,217.0869140625,207.8653564453125
8,8,235.69342041015625,55.79973220825195,495.805419921875,750.90576171875,877.7886962890625,546.7708740234375,217.0291748046875,208.75498962402344
9,9,235.6199188232422,57.307621002197266,495.93548583984375,751.37109375,876.6423950195312,545.99609375,216.8033447265625,209.53985595703125
10,10,234.75851440429688,58.268585205078125,495.0991516113281,751.6176147460938,875.01123046875,546.4821166992188,216.33265686035156,209.85049438476562
11,11,234.149658203125,59.21232223510742,494.6669616699219,751.4215087890625,873.255126953125,547.9267578125,215.74803161621094,210.43017578125
12,12,234.13577270507812,59.2567253112793,494.2705993652344,751.4747924804688,872.5389404296875,547.1092529296875,217.32330322265625,212.80958557128906
13,13,234.22134399414062,59.39108657836914,493.7008361816406,751.5471801757812,870.48291015625,546.988525390625,218.5993194580078,213.87307739257812
14,14,233.7427978515625,59.59880065917969,493.6519470214844,752.1244506835938,869.5692138671875,547.193359375,216.9788055419922,214.45880126953125
15,15,233.73956298828125,60.371986389160156,494.177734375,753.5371704101562,867.24755859375,547.3628540039062,215.67437744140625,215.19049072265625
16,16,233.18392944335938,60.435585021972656,494.43902587890625,755.0546264648438,865.571044921875,546.93017578125,215.67388916015625,216.77833557128906
17,17,233.2333221435547,60.79627227783203,495.0428161621094,756.7919311523438,865.5951538085938,545.838623046875,214.40599060058594,218.74044799804688
18,18,233.22213745117188,60.86975860595703,494.29412841796875,756.966064453125,866.506103515625,545.9966430664062,212.89114379882812,221.63519287109375
19,19,233.20645141601562,60.93677520751953,489.94439697265625,753.313720703125,866.311767578125,545.9177856445312,211.51849365234375,224.18885803222656
20,20,233.21290588378906,61.43629455566406,488.97662353515625,752.9686279296875,865.47265625,546.0855102539062,210.6196746826172,226.96420288085938
21,21,232.1721954345703,62.646873474121094,488.97418212890625,753.0452880859375,864.8864135742188,546.2000732421875,210.11911010742188,229.00205993652344
22,22,232.13864135742188,64.34444427490234,489.2673034667969,751.98486328125,863.4883422851562,545.6206665039062,209.57908630371094,230.4124755859375
23,23,231.58016967773438,65.84877014160156,488.4737548828125,751.368896484375,863.222900390625,546.5127563476562,209.09912109375,232.5657958984375
24,24,231.3880615234375,66.18295288085938,487.9579162597656,751.8685913085938,862.92578125,547.413330078125,207.12948608398438,235.30709838867188
25,25,231.28060913085938,66.17918395996094,486.7329406738281,752.6915283203125,862.5103759765625,547.7915649414062,205.8637237548828,235.61029052734375
26,26,231.17623901367188,66.15171813964844,485.3775329589844,753.0324096679688,861.9033813476562,547.5750122070312,204.6124267578125,236.46820068359375
27,27,230.37506103515625,66.7190170288086,484.53094482421875,753.0919189453125,862.5013427734375,548.5064697265625,203.24871826171875,237.2470703125
28,28,230.4267578125,66.74063873291016,484.420166015625,753.9566650390625,862.161376953125,549.893310546875,202.0785675048828,237.10235595703125
29,29,231.00970458984375,66.30694580078125,484.2939147949219,754.179931640625,859.7924194335938,550.3052368164062,201.28585815429688,236.93096923828125
30,30,231.1033935546875,66.26236724853516,484.3236389160156,754.1854858398438,858.2540283203125,551.5745849609375,200.58187866210938,237.79197692871094
31,31,230.9177703857422,66.14419555664062,484.50091552734375,754.0404663085938,858.3564453125,551.6597900390625,200.98699951171875,238.82302856445312
32,32,230.92367553710938,66.06977081298828,484.65570068359375,753.9253540039062,859.2857055664062,551.3106079101562,201.03628540039062,239.4429931640625
33,33,230.76278686523438,66.04157257080078,485.15771484375,753.8638916015625,859.342041015625,551.5222778320312,201.21470642089844,240.74697875976562
34,34,230.86172485351562,66.03191375732422,485.24237060546875,753.75732421875,858.41845703125,552.0438842773438,200.96749877929688,241.79864501953125
35,35,230.40130615234375,66.83624267578125,485.3507080078125,753.787109375,858.1281127929688,553.4172973632812,200.4722900390625,242.47686767578125
36,36,230.3278350830078,67.70137023925781,485.23431396484375,753.7162475585938,857.0457763671875,554.2994995117188,200.1691436767578,241.99989318847656
37,37,230.4160614013672,68.08458709716797,485.1968078613281,753.8333740234375,856.2767944335938,554.4158935546875,199.2233123779297,242.97274780273438
38,38,230.5213623046875,68.85408782958984,485.1775207519531,753.636962890625,855.044189453125,555.296630859375,198.56675720214844,244.21868896484375
39,39,229.90736389160156,69.75906372070312,485.22564697265625,753.5391235351562,853.8993530273438,555.8470458984375,198.2814483642578,245.3387451171875
40,40,229.71495056152344,70.40157318115234,485.4295959472656,753.4531860351562,854.0305786132812,556.2364501953125,197.85247802734375,246.07298278808594
41,41,227.66600036621094,71.65763854980469,485.46240234375,753.5017700195312,853.269287109375,556.8026123046875,197.5565185546875,247.24021911621094
42,42,226.63197326660156,73.29086303710938,485.30084228515625,753.3500366210938,849.680419921875,557.4721069335938,196.9976043701172,247.96380615234375
43,43,226.46868896484375,73.38395690917969,484.91070556640625,753.0927124023438,846.0433349609375,560.171875,196.0939483642578,248.60888671875
44,44,226.02146911621094,73.32179260253906,484.2223205566406,752.949951171875,846.9172973632812,559.7896728515625,195.34976196289062,249.56655883789062
45,45,225.85165405273438,73.44661712646484,484.15692138671875,753.0018310546875,845.8297119140625,560.529052734375,194.85940551757812,250.4423828125
46,46,225.554931640625,74.88842010498047,484.3595275878906,752.4678955078125,841.80908203125,561.4840698242188,194.56771850585938,251.33807373046875
47,47,225.51145935058594,75.14154815673828,481.2161865234375,752.7516479492188,844.3411865234375,560.2041625976562,194.63011169433594,252.63632202148438
48,48,224.99256896972656,75.22990417480469,479.9888000488281,750.2944946289062,845.66015625,558.8567504882812,194.6954345703125,254.9484100341797
49,49,225.56097412109375,75.85163116455078,480.8245849609375,750.8541259765625,844.5029296875,559.6846313476562,194.6736297607422,255.99652099609375
50,50,225.67088317871094,76.06779479980469,480.8545227050781,751.083740234375,843.8460083007812,559.65087890625,194.69395446777344,258.29168701171875
51,51,225.77410888671875,76.66387176513672,480.95343017578125,751.3410034179688,842.0635375976562,559.5242919921875,194.78976440429688,260.4940490722656
