Frame Type,Mean Entropy,id
Non-Switch,0.96522045,Zebrafish10
Non-Switch,0.9896013,Zebrafish10
Non-Switch,0.9963126,Zebrafish10
Non-Switch,0.9779026,Zebrafish10
Non-Switch,0.9846965,Zebrafish10
Non-Switch,0.9743968,Zebrafish10
Non-Switch,0.96224725,Zebrafish10
Non-Switch,0.95014,Zebrafish10
Non-Switch,0.96727306,Zebrafish10
Non-Switch,0.94623435,Zebrafish10
Non-Switch,0.96134204,Zebrafish10
Non-Switch,0.91048276,Zebrafish10
Non-Switch,0.83201325,Zebrafish10
Non-Switch,0.790296,Zebrafish10
Non-Switch,0.7499363,Zebrafish10
Non-Switch,0.75939864,Zebrafish10
Non-Switch,0.734465,Zebrafish10
Non-Switch,0.7383744,Zebrafish10
Non-Switch,0.726026,Zebrafish10
Non-Switch,0.707949,Zebrafish10
Non-Switch,0.71899444,Zebrafish10
Non-Switch,0.73801863,Zebrafish10
Non-Switch,0.71877944,Zebrafish10
Non-Switch,0.7486733,Zebrafish10
Non-Switch,0.80961263,Zebrafish10
Non-Switch,0.8445624,Zebrafish10
Non-Switch,0.8143066,Zebrafish10
Non-Switch,0.79609215,Zebrafish10
Non-Switch,0.7681664,Zebrafish10
Non-Switch,0.7575146,Zebrafish10
Non-Switch,0.75728524,Zebrafish10
Non-Switch,0.7617338,Zebrafish10
Non-Switch,0.8285966,Zebrafish10
Non-Switch,0.8204282,Zebrafish10
Non-Switch,0.84217614,Zebrafish10
Non-Switch,0.8488821,Zebrafish10
Non-Switch,0.87800056,Zebrafish10
Non-Switch,0.88141024,Zebrafish10
Non-Switch,0.885855,Zebrafish10
Non-Switch,0.9244219,Zebrafish10
Non-Switch,0.90550107,Zebrafish10
Non-Switch,0.8949978,Zebrafish10
Non-Switch,0.9343263,Zebrafish10
Non-Switch,0.96896183,Zebrafish10
Non-Switch,0.9716905,Zebrafish10
Non-Switch,0.97264826,Zebrafish10
Non-Switch,0.9788119,Zebrafish10
Non-Switch,0.96541166,Zebrafish10
Non-Switch,0.97406375,Zebrafish10
Non-Switch,0.9677099,Zebrafish10
Non-Switch,0.99300545,Zebrafish10
Non-Switch,0.9955143,Zebrafish10
Non-Switch,0.9868658,Zebrafish10
Non-Switch,0.9873578,Zebrafish10
Non-Switch,0.99324024,Zebrafish10
Non-Switch,0.99654305,Zebrafish10
Non-Switch,0.9888646,Zebrafish10
Non-Switch,0.9894284,Zebrafish10
Non-Switch,0.98707926,Zebrafish10
Non-Switch,0.98180085,Zebrafish10
Non-Switch,0.90198183,Zebrafish10
Non-Switch,0.9432739,Zebrafish10
Non-Switch,0.94465065,Zebrafish10
Non-Switch,0.90186596,Zebrafish10
Non-Switch,0.9132451,Zebrafish10
Non-Switch,0.89946306,Zebrafish10
Non-Switch,0.821993,Zebrafish10
Non-Switch,0.89041966,Zebrafish10
Non-Switch,0.8867488,Zebrafish10
Non-Switch,0.89629877,Zebrafish10
Non-Switch,0.86129683,Zebrafish10
Non-Switch,0.9260295,Zebrafish10
Non-Switch,0.9449364,Zebrafish10
Non-Switch,0.95117235,Zebrafish10
Non-Switch,0.9877819,Zebrafish10
Non-Switch,0.92569286,Zebrafish10
Non-Switch,0.95451117,Zebrafish10
Non-Switch,0.9522683,Zebrafish10
Non-Switch,0.9453546,Zebrafish10
Non-Switch,0.9894808,Zebrafish10
Non-Switch,0.9491483,Zebrafish10
Non-Switch,0.94738597,Zebrafish10
Non-Switch,0.9601452,Zebrafish10
Non-Switch,0.96883905,Zebrafish10
Non-Switch,0.9565886,Zebrafish10
Non-Switch,0.95084745,Zebrafish10
Non-Switch,0.9556492,Zebrafish10
Non-Switch,0.9409585,Zebrafish10
Non-Switch,0.95310247,Zebrafish10
Non-Switch,0.96113414,Zebrafish10
Non-Switch,0.9342349,Zebrafish10
Non-Switch,0.9267436,Zebrafish10
Non-Switch,0.90765536,Zebrafish10
Non-Switch,0.8956469,Zebrafish10
Non-Switch,0.89061224,Zebrafish10
Non-Switch,0.90778077,Zebrafish10
Non-Switch,0.9135437,Zebrafish10
Non-Switch,0.90463316,Zebrafish10
Non-Switch,0.9000861,Zebrafish10
Non-Switch,0.89261276,Zebrafish10
Non-Switch,0.99461716,Zebrafish10
Non-Switch,0.9142358,Zebrafish10
Non-Switch,0.93235624,Zebrafish10
Non-Switch,0.9245222,Zebrafish10
Non-Switch,0.88336533,Zebrafish10
Non-Switch,0.86543924,Zebrafish10
Non-Switch,0.8561481,Zebrafish10
Non-Switch,0.84381694,Zebrafish10
Non-Switch,0.813131,Zebrafish10
Non-Switch,0.82579935,Zebrafish10
Non-Switch,0.80388564,Zebrafish10
Non-Switch,0.9808694,Zebrafish10
Non-Switch,0.7983571,Zebrafish10
Non-Switch,0.80418146,Zebrafish10
Non-Switch,0.8004672,Zebrafish10
Non-Switch,0.7674779,Zebrafish10
Non-Switch,0.7535836,Zebrafish10
Non-Switch,0.7431547,Zebrafish10
Non-Switch,0.7305192,Zebrafish10
Non-Switch,0.8129447,Zebrafish10
Non-Switch,0.8274919,Zebrafish10
Non-Switch,0.8254179,Zebrafish10
Non-Switch,0.96912163,Zebrafish10
Non-Switch,0.81676805,Zebrafish10
Non-Switch,0.82940847,Zebrafish10
Non-Switch,0.8108672,Zebrafish10
Non-Switch,0.7966626,Zebrafish10
Non-Switch,0.7758869,Zebrafish10
Non-Switch,0.77510333,Zebrafish10
Non-Switch,0.82332885,Zebrafish10
Non-Switch,0.85365087,Zebrafish10
Non-Switch,0.89581394,Zebrafish10
Non-Switch,0.8833147,Zebrafish10
Non-Switch,0.9452273,Zebrafish10
Non-Switch,0.9140154,Zebrafish10
Non-Switch,0.86952674,Zebrafish10
Non-Switch,0.87772405,Zebrafish10
Non-Switch,0.86870354,Zebrafish10
Non-Switch,0.888505,Zebrafish10
Non-Switch,0.94602907,Zebrafish10
Non-Switch,0.91017133,Zebrafish10
Non-Switch,0.8516434,Zebrafish10
Non-Switch,0.7975888,Zebrafish10
Non-Switch,0.77169245,Zebrafish10
Non-Switch,0.9472005,Zebrafish10
Non-Switch,0.7852284,Zebrafish10
Non-Switch,0.7909187,Zebrafish10
Non-Switch,0.9621186,Zebrafish10
Non-Switch,0.94951534,Zebrafish10
Non-Switch,0.9260675,Zebrafish10
Non-Switch,0.95183325,Zebrafish10
Non-Switch,0.9575904,Zebrafish10
Non-Switch,0.9282095,Zebrafish10
Non-Switch,0.93333817,Zebrafish10
Non-Switch,0.8780778,Zebrafish10
Non-Switch,0.9335249,Zebrafish10
Non-Switch,0.88673097,Zebrafish10
Non-Switch,0.875945,Zebrafish10
Non-Switch,0.85004425,Zebrafish10
Non-Switch,0.84694433,Zebrafish10
Non-Switch,0.9031574,Zebrafish10
Non-Switch,0.90140784,Zebrafish10
Non-Switch,0.9426044,Zebrafish10
Non-Switch,0.99767506,Zebrafish10
Non-Switch,0.9243237,Zebrafish10
Non-Switch,0.9960685,Zebrafish10
Non-Switch,0.98853433,Zebrafish10
Non-Switch,0.9988052,Zebrafish10
Non-Switch,0.99493885,Zebrafish10
Non-Switch,0.972188,Zebrafish10
Non-Switch,0.96008986,Zebrafish10
Non-Switch,0.9613991,Zebrafish10
Non-Switch,0.9442436,Zebrafish10
Non-Switch,0.9463517,Zebrafish10
Non-Switch,0.91003036,Zebrafish10
Non-Switch,0.947145,Zebrafish10
Non-Switch,0.9089759,Zebrafish10
Non-Switch,0.9003795,Zebrafish10
Non-Switch,0.91381645,Zebrafish10
Non-Switch,0.91250163,Zebrafish10
Non-Switch,0.89747256,Zebrafish10
Non-Switch,0.8929818,Zebrafish10
Non-Switch,0.8809258,Zebrafish10
Non-Switch,0.8856314,Zebrafish10
Non-Switch,0.9047371,Zebrafish10
Non-Switch,0.89002943,Zebrafish10
Non-Switch,0.9222776,Zebrafish10
Non-Switch,0.91729707,Zebrafish10
Non-Switch,0.93404007,Zebrafish10
Non-Switch,0.9461627,Zebrafish10
Non-Switch,0.94431144,Zebrafish10
Non-Switch,0.9502388,Zebrafish10
Non-Switch,0.94418514,Zebrafish10
Non-Switch,0.97026,Zebrafish10
Switch,1.3025107,Zebrafish10
Switch,1.1055396,Zebrafish10
Switch,1.0936462,Zebrafish10
Switch,0.9771744,Zebrafish10
Switch,1.2839748,Zebrafish10
Switch,1.286399,Zebrafish10
Switch,1.3664895,Zebrafish10
Switch,1.3912957,Zebrafish10
Switch,1.4710257,Zebrafish10
Non-Switch,0.75789773,Zebrafish10
Non-Switch,0.826083,Zebrafish10
Non-Switch,0.98111594,Zebrafish10
Non-Switch,0.9916398,Zebrafish10
